link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,vdf_toll,vdf_alpha,vdf_beta,vdf_plf,vdf_length_mi,vdf_free_speed_in_mph,free_speed_in_mph_raw,vdf_fftt,ref_volume,base_volume,base_vol_auto,restricted_turn_nodes,link_type_name,is_link,from_biway
56,Black Canyon Freeway,528432233,3435,3410,1,"LINESTRING (-112.1122284 33.5136464,-112.112194 33.5203264)",1,742.79,motorway,1,105,5,2300,,0,0.15,4,1,0.46,65,65,0.42,6157.83,,,,,,
57,,5565393,3436,3437,1,"LINESTRING (-112.1129732 33.4912605,-112.1128564 33.4916698,-112.1127777 33.4926288,-112.1127336 33.4930668,-112.1127025 33.4933188)",1,230.71,motorway,1,72,1,2300,,0,0.15,4,1,0.14,45,45,0.19,,,,,,,
58,Black Canyon Freeway,37438925,3436,3449,1,"LINESTRING (-112.1129732 33.4912605,-112.1129641 33.4916763,-112.1129554 33.4926273,-112.1129489 33.4930676,-112.1129423 33.4935113,-112.1129381 33.4938282,-112.1129199 33.4951937,-112.1128984 33.4968089,-112.1128919 33.4972986,-112.1128876 33.4976112,-112.1128726 33.498071)",1,757.36,motorway,1,105,4,2300,,0,0.15,4,1,0.47,65,65,0.43,5528.17,,,,,,
59,,987398108,3437,3470,1,"LINESTRING (-112.1127025 33.4933188,-112.1126875 33.4934539,-112.1126423 33.4935847)",1,30.22,motorway,1,105,2,2300,,0,0.15,4,1,0.02,65,65,0.02,,,,,,,
60,,5586435,3438,3439,1,"LINESTRING (-112.1128731 33.5078712,-112.1127958 33.5071896)",1,76.13,motorway,1,72,2,2300,,0,0.15,4,1,0.05,45,45,0.06,,,,,,,
61,,528429074,3439,3481,1,"LINESTRING (-112.1127958 33.5071896,-112.1127933 33.5065764,-112.1127942 33.5062371,-112.1127235 33.5059947)",1,133.65,motorway,1,64,1,2300,,0,0.15,4,1,0.08,40,40,0.13,,,,,,,
62,,5586947,3440,3441,1,"LINESTRING (-112.113058 33.4992841,-112.1131281 33.498748,-112.1131422 33.4985748,-112.1131795 33.4980742,-112.1132332 33.4976128,-112.1132621 33.4972974,-112.1133358 33.4968117,-112.1133594 33.4966399,-112.1134093 33.4964259)",1,319.67,motorway,1,72,1,2300,,0,0.15,4,1,0.2,45,45,0.27,,,,,,,
63,Black Canyon Freeway,528363240,3440,3478,1,"LINESTRING (-112.113058 33.4992841,-112.1130614 33.4986226,-112.1130583 33.4980725)",1,134.73,motorway,1,105,4,2300,,0,0.15,4,1,0.08,65,65,0.08,7132.12,,,,,,
64,North Black Canyon Highway,987702743,3441,3486,1,"LINESTRING (-112.1134093 33.4964259,-112.1134086 33.4962826,-112.1134156 33.49623,-112.1134304 33.496117,-112.1134492 33.4959791)",1,49.89,secondary,4,64,3,2300,,0,0.15,4,1,0.03,40,40,0.05,,,,,,,
65,,5586948,3442,3443,1,"LINESTRING (-112.112719 33.4972789,-112.1127366 33.4976106,-112.1127407 33.49807,-112.1127456 33.4986164,-112.1127598 33.4988445,-112.1128506 33.4993223)",1,227.95,motorway,1,72,1,2300,,0,0.15,4,1,0.14,45,45,0.19,,,,,,,
66,Black Canyon Freeway,528429073,3443,3480,1,"LINESTRING (-112.1128506 33.4993223,-112.1127588 33.5018249,-112.1125593 33.5047602)",1,605.32,motorway,1,105,5,2300,,0,0.15,4,1,0.38,65,65,0.35,6157.83,,,,,,
67,,23717633,3444,3445,1,"LINESTRING (-112.1129056 33.4741848,-112.1129097 33.4749263,-112.1128913 33.4754327,-112.1128757 33.4758485,-112.1128312 33.4765696)",1,265.33,motorway,1,72,1,2300,,0,0.15,4,1,0.16,45,45,0.22,,,,,,,
68,Black Canyon Freeway,51462963,3444,3450,1,"LINESTRING (-112.1129056 33.4741848,-112.1129524 33.4745608,-112.1129876 33.474924,-112.1130171 33.4753381,-112.1130294 33.4756782,-112.1130366 33.4763504,-112.1130423 33.4768924)",1,301.53,motorway,1,105,5,2300,,0,0.15,4,1,0.19,65,65,0.17,5528.17,,,,,,
69,North Black Canyon Highway,51462984,3445,3451,1,"LINESTRING (-112.1128312 33.4765696,-112.1127936 33.4771753,-112.1126668 33.4786088,-112.1126402 33.4789778)",1,268.38,trunk,2,64,2,2300,,0,0.15,4,1,0.17,40,40,0.25,,,,,,,
70,,23717638,3446,3447,1,"LINESTRING (-112.113514 33.4768519,-112.1134291 33.4760515)",1,89.35,motorway,1,72,1,2300,,0,0.15,4,1,0.06,45,45,0.07,,,,,,,
71,,23717638,3447,3448,1,"LINESTRING (-112.1134291 33.4760515,-112.1133803 33.4756664,-112.1133486 33.4752824,-112.1132996 33.47485,-112.1131458 33.4741694)",1,211.17,motorway,1,72,1,2300,,0,0.15,4,1,0.13,45,45,0.18,,,,,,,
72,Black Canyon Freeway,32736598,3448,3413,1,"LINESTRING (-112.1131458 33.4741694,-112.1130907 33.4738126,-112.1130467 33.4735468,-112.112995 33.4732972,-112.1128452 33.4726458,-112.1127686 33.4723387,-112.1126766 33.4720284,-112.1124594 33.4713908)",1,315.88,motorway,1,105,5,2300,,0,0.15,4,1,0.2,65,65,0.18,7132.12,,,,,,
73,Black Canyon Freeway,1050972964,3449,3443,1,"LINESTRING (-112.1128726 33.498071,-112.1128725 33.4986189,-112.1128506 33.4993223)",1,139.16,motorway,1,105,4,2300,,0,0.15,4,1,0.09,65,65,0.08,6157.83,,,,,,
74,Black Canyon Freeway,965873204,3450,3474,1,"LINESTRING (-112.1130423 33.4768924,-112.1130447 33.4774475)",1,61.72,motorway,1,105,4,2300,,0,0.15,4,1,0.04,65,65,0.04,5528.17,,,,,,
75,North Black Canyon Highway,529407655,3451,3467,1,"LINESTRING (-112.1126402 33.4789778,-112.1126217 33.4795932)",1,68.45,trunk,2,64,3,2300,,0,0.15,4,1,0.04,40,40,0.06,,,,,,,
76,North Black Canyon Highway,407188898,3452,3463,1,"LINESTRING (-112.1128962 33.5088633,-112.1128932 33.5087637)",1,11.08,secondary,4,64,3,2300,,0,0.15,4,1,0.01,40,40,0.01,,,,,,,
77,North Black Canyon Highway,531245170,3453,3464,1,"LINESTRING (-112.1119104 33.5101105,-112.1119125 33.5101933,-112.1119309 33.5104149,-112.1119434 33.5105103,-112.1119799 33.5109842)",1,97.38,secondary,4,64,3,2300,,0,0.15,4,1,0.06,40,40,0.09,,,,,,,
78,North Black Canyon Highway,531245169,3454,3482,1,"LINESTRING (-112.1120421 33.5082836,-112.1119721 33.5086924,-112.1119556 33.5088057)",1,58.61,secondary,4,64,2,2300,,0,0.15,4,1,0.04,40,40,0.05,,,,,,,
79,North Black Canyon Highway,531245179,3455,3468,1,"LINESTRING (-112.1128197 33.5104466,-112.1128664 33.5102792,-112.1128831 33.5100497)",1,44.68,secondary,4,64,3,2300,,0,0.15,4,1,0.03,40,40,0.04,,,,,,,
80,Black Canyon Freeway,119371565,3456,3457,1,"LINESTRING (-112.113201 33.4850762,-112.1132044 33.4839145,-112.1132074 33.4824796,-112.1132085 33.4819018,-112.1132309 33.4796287,-112.1132428 33.4786402,-112.1132558 33.4780899,-112.113259 33.477638,-112.1132615 33.4774044)",1,853.09,motorway,1,105,4,2300,,0,0.15,4,1,0.53,65,65,0.49,7132.12,,,,,,
81,,137884432,3456,3458,1,"LINESTRING (-112.113201 33.4850762,-112.1132872 33.4846492,-112.113296 33.4839127,-112.1133351 33.4834303,-112.1134338 33.4824853,-112.113497 33.4819984)",1,343.74,motorway,1,64,1,2300,,0,0.15,4,1,0.21,40,40,0.32,,,,,,,
82,Black Canyon Freeway,1045974058,3457,3487,1,"LINESTRING (-112.1132615 33.4774044,-112.1132551 33.4756757)",1,192.22,motorway,1,105,4,2300,,0,0.15,4,1,0.12,65,65,0.11,7132.12,,,,,,
83,North Black Canyon Highway,177402125,3458,3459,1,"LINESTRING (-112.113497 33.4819984,-112.11351 33.4818638,-112.1135709 33.4813005)",1,77.91,secondary,4,64,3,2300,,0,0.15,4,1,0.05,40,40,0.07,,,,,,,
84,North Black Canyon Highway,436970537,3459,3414,1,"LINESTRING (-112.1135709 33.4813005,-112.1136307 33.4807637,-112.113639 33.4806374)",1,74.01,secondary,4,64,4,2300,,0,0.15,4,1,0.05,40,40,0.07,,,,,,,
85,North Black Canyon Highway,445048296,3460,3462,1,"LINESTRING (-112.1126028 33.4954211,-112.1125819 33.4959827)",1,62.48,secondary,4,64,3,2300,,0,0.15,4,1,0.04,40,40,0.06,,,,,,,
86,North Black Canyon Highway,441457148,3461,3430,1,"LINESTRING (-112.1134512 33.4945572,-112.1134457 33.4942899,-112.1134364 33.4938391)",1,79.86,secondary,4,64,3,2300,,0,0.15,4,1,0.05,40,40,0.07,,,,,,,
87,,445048356,3462,3442,1,"LINESTRING (-112.1125819 33.4959827,-112.1126283 33.4962744,-112.1126774 33.4968075,-112.112719 33.4972789)",1,144.73,motorway,1,105,2,2300,,0,0.15,4,1,0.09,65,65,0.08,,,,,,,
88,North Black Canyon Highway,529407660,3463,3438,1,"LINESTRING (-112.1128932 33.5087637,-112.1128881 33.5085937,-112.1128881 33.5082645,-112.1128877 33.5082501,-112.1128841 33.5081299,-112.1128731 33.5078712)",1,99.27,secondary,4,64,3,2300,,0,0.15,4,1,0.06,40,40,0.09,,,,,,,
89,,528425559,3464,3434,1,"LINESTRING (-112.1119799 33.5109842,-112.1120732 33.5115311,-112.1121158 33.5120129)",1,115.14,motorway,1,105,2,2300,,0,0.15,4,1,0.07,65,65,0.07,,,,,,,
90,North Black Canyon Highway,436944354,3465,3425,1,"LINESTRING (-112.1125952 33.4942236,-112.1126063 33.4947351,-112.1126062 33.4947495,-112.112605 33.4948665)",1,71.5,secondary,4,64,5,2300,,0,0.15,4,1,0.04,40,40,0.07,,,,,,,
91,North Black Canyon Highway,436944355,3466,3421,1,"LINESTRING (-112.1134716 33.4956656,-112.1134855 33.4952265,-112.1134857 33.4952195,-112.113489 33.4951089)",1,61.92,secondary,4,105,5,2300,,0,0.15,4,1,0.04,65,65,0.04,,,,,,,
92,North Black Canyon Highway,436970538,3467,3418,1,"LINESTRING (-112.1126217 33.4795932,-112.11261 33.4799989,-112.1125997 33.4804045,-112.1125999 33.480415,-112.112602 33.4805078)",1,101.72,trunk,2,64,4,2300,,0,0.15,4,1,0.06,40,40,0.1,,,,,,,
93,North Black Canyon Highway,437461018,3468,3417,1,"LINESTRING (-112.1128831 33.5100497,-112.1129113 33.5096605,-112.1129176 33.5095744)",1,52.95,secondary,4,64,4,2300,,0,0.15,4,1,0.03,40,40,0.05,,,,,,,
94,North Black Canyon Highway,437461019,3469,3416,1,"LINESTRING (-112.1119374 33.5089583,-112.1119184 33.5091188,-112.1119023 33.5093483,-112.111895 33.5094537)",1,55.24,secondary,4,64,4,2300,,0,0.15,4,1,0.03,40,40,0.05,,,,,,,
95,North Black Canyon Highway,441457149,3470,3465,1,"LINESTRING (-112.1126423 33.4935847,-112.1126186 33.4938721,-112.1126036 33.4940582,-112.1125952 33.4942236)",1,71.18,secondary,4,64,4,2300,,0,0.15,4,1,0.04,40,40,0.07,,,,,,,
96,Black Canyon Freeway,528363212,3471,3472,1,"LINESTRING (-112.1129698 33.4850703,-112.1129725 33.4900366)",1,552.23,motorway,1,105,5,2300,,0,0.15,4,1,0.34,65,65,0.32,5528.17,,,,,,
97,Black Canyon Freeway,537871217,3472,3485,1,"LINESTRING (-112.1129725 33.4900366,-112.1129726 33.4901616)",1,13.9,motorway,1,105,5,2300,,0,0.15,4,1,0.01,65,65,0.01,5528.17,,,,,,
98,Black Canyon Freeway,528363218,3473,3471,1,"LINESTRING (-112.1130242 33.4807509,-112.1130127 33.4819139,-112.1130054 33.4824746,-112.1129857 33.4839186,-112.1129698 33.4850703)",1,480.32,motorway,1,105,4,2300,,0,0.15,4,1,0.3,65,65,0.27,5528.17,,,,,,
99,Black Canyon Freeway,528363223,3474,3475,1,"LINESTRING (-112.1130447 33.4774475,-112.1130403 33.4780818)",1,70.53,motorway,1,105,4,2300,,0,0.15,4,1,0.04,65,65,0.04,5528.17,,,,,,
100,Black Canyon Freeway,1045974059,3475,3473,1,"LINESTRING (-112.1130403 33.4780818,-112.1130325 33.4795502,-112.11303 33.4804112,-112.1130296 33.4804335,-112.1130246 33.4807286,-112.1130242 33.4807509)",1,296.8,motorway,1,105,4,2300,,0,0.15,4,1,0.18,65,65,0.17,5528.17,,,,,,
101,Black Canyon Freeway,528363236,3476,3477,1,"LINESTRING (-112.1131559 33.4912598,-112.1131641 33.4901624)",1,122.03,motorway,1,105,5,2300,,0,0.15,4,1,0.08,65,65,0.07,7132.12,,,,,,
102,Black Canyon Freeway,537871215,3477,3484,1,"LINESTRING (-112.1131641 33.4901624,-112.113165 33.4900375)",1,13.89,motorway,1,105,5,2300,,0,0.15,4,1,0.01,65,65,0.01,7132.12,,,,,,
103,Black Canyon Freeway,528363237,3478,3476,1,"LINESTRING (-112.1130583 33.4980725,-112.1130739 33.4976121,-112.1130783 33.497298,-112.1130857 33.4968101,-112.1131102 33.4951905,-112.1131308 33.4938324,-112.1131356 33.4935104,-112.1131406 33.4930683,-112.1131455 33.4926256,-112.1131535 33.4916878,-112.1131559 33.4912598)",1,757.6,motorway,1,105,4,2300,,0,0.15,4,1,0.47,65,65,0.43,7132.12,,,,,,
104,Black Canyon Freeway,528363239,3479,3440,1,"LINESTRING (-112.1128003 33.5047597,-112.1129844 33.5015961,-112.113058 33.4992841)",1,609.36,motorway,1,105,5,2300,,0,0.15,4,1,0.38,65,65,0.35,7132.12,,,,,,
105,Black Canyon Freeway,528432235,3480,3426,1,"LINESTRING (-112.1125593 33.5047602,-112.1125032 33.5055866)",1,92.04,motorway,1,105,5,2300,,0,0.15,4,1,0.06,65,65,0.05,6157.83,,,,,,
106,Black Canyon Freeway,528438519,3481,3479,1,"LINESTRING (-112.1127235 33.5059947,-112.1128003 33.5047597)",1,137.51,motorway,1,105,5,2300,,0,0.15,4,1,0.09,65,65,0.08,,,,,,,
107,North Black Canyon Highway,1067161290,3482,3469,1,"LINESTRING (-112.1119556 33.5088057,-112.1119374 33.5089583)",1,17.05,secondary,4,72,3,2300,,0,0.15,4,1,0.01,45,45,0.01,,,,,,,
108,North Black Canyon Highway,964210187,3483,3455,1,"LINESTRING (-112.1127658 33.5110433,-112.1128197 33.5104466)",1,66.54,secondary,4,64,3,2300,,0,0.15,4,1,0.04,40,40,0.06,,,,,,,
109,Black Canyon Freeway,537871214,3484,3456,1,"LINESTRING (-112.113165 33.4900375,-112.1131677 33.4888391,-112.113201 33.4850762)",1,551.68,motorway,1,105,5,2300,,0,0.15,4,1,0.34,65,65,0.32,7132.12,,,,,,
